# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:(.)rho_tot            18:(.)p_tot              19:(.)p_tot_prime        20:gr.fac. D             21:gr.fac. f          
       7.565213307992e+13       1.320667736808e-25       6.126356311142e-09       1.234816178210e+22       1.415027915038e+04       1.870440207606e-10       1.070498801403e+18       3.537188787238e-09       9.012884037369e+43       1.078292394025e+33       5.786184200159e+33       2.046885037174e+43       6.822950123913e+42       3.449766788309e-08       4.187940864453e+43       1.524770993968e+44       1.524770993968e+44       5.082569979665e+43      -3.318367576572e+52       3.114294298198e-06       3.583914038907e+00 
       7.512624933457e+13       1.339221797842e-25       6.170012056828e-09       1.217708590226e+22       1.415027915038e+04       1.883533289059e-10       1.063057399605e+18       3.561949108748e-09       8.764878518120e+43       1.055961611629e+33       5.666355829864e+33       1.990561358273e+43       6.635204527578e+42       3.449766788309e-08       4.072702230030e+43       1.482814210710e+44       1.482814210710e+44       4.942714035474e+43      -3.204624425331e+52       3.192151655653e-06       3.496501501373e+00 
       7.460402118627e+13       1.358036524880e-25       6.211848813109e-09       1.200838016926e+22       1.415027915038e+04       1.896718022082e-10       1.055667725527e+18       3.586882752509e-09       8.523697311413e+43       1.034093286211e+33       5.549009032543e+33       1.935787525479e+43       6.452625084931e+42       3.449766788309e-08       3.960634591401e+43       1.442011942895e+44       1.442011942895e+44       4.806706476098e+43      -3.094780029774e+52       3.270009013108e-06       3.413251465626e+00 
       7.408542322370e+13       1.377115580018e-25       6.255504558794e-09       1.184201174624e+22       1.415027915038e+04       1.909995048237e-10       1.048329419590e+18       3.611990931777e-09       8.289152634162e+43       1.012677840568e+33       5.434092416321e+33       1.882520892022e+43       6.275069640072e+42       3.449766788309e-08       3.851650692981e+43       1.402332421981e+44       1.402332421981e+44       4.674441406388e+43      -2.988700752882e+52       3.347866370563e-06       3.333873524565e+00 
       7.357043021222e+13       1.396462676802e-25       6.299160304479e-09       1.167794825126e+22       1.415027915038e+04       1.923365013574e-10       1.041042124717e+18       3.637274868299e-09       8.061061870468e+43       9.917058958338e+32       5.321555653621e+33       1.830719984633e+43       6.102399948777e+42       3.449766788309e-08       3.745665680179e+43       1.363744753591e+44       1.363744753591e+44       4.545815845093e+43      -2.886257538287e+52       3.425723728018e-06       3.258103671734e+00 
       7.305901709257e+13       1.416081580948e-25       6.344635039568e-09       1.151615775102e+22       1.415027915038e+04       1.936828568669e-10       1.033805486312e+18       3.662735792377e-09       7.839247429430e+43       9.711682673730e+32       5.211349459116e+33       1.780344471256e+43       5.934481570854e+42       3.449766788309e-08       3.642597033329e+43       1.326218893463e+44       1.326218893463e+44       4.420729644672e+43      -2.787325753268e+52       3.503581085472e-06       3.185701367918e+00 
       7.255115897971e+13       1.435976111079e-25       6.388290785253e-09       1.135660875463e+22       1.415027915038e+04       1.950386368650e-10       1.026619152247e+18       3.688374942923e-09       7.623536606878e+43       9.510559607586e+32       5.103425568151e+33       1.731355129642e+43       5.771183765473e+42       3.449766788309e-08       3.542364503440e+43       1.289725624057e+44       1.289725624057e+44       4.299085413320e+43      -2.691785037118e+52       3.581438442927e-06       3.116446990354e+00 
       7.204683116158e+13       1.456150139463e-25       6.433765520342e-09       1.119927020748e+22       1.415027915038e+04       1.964039073231e-10       1.019482772837e+18       3.714193567523e-09       7.413761450905e+43       9.313601678329e+32       4.997736715603e+33       1.683713816811e+43       5.612379389370e+42       3.449766788309e-08       3.444890049713e+43       1.254236531802e+44       1.254236531802e+44       4.180788439143e+43      -2.599519154716e+52       3.659295800382e-06       3.050139607581e+00 
       7.154600909790e+13       1.476607592772e-25       6.477421266027e-09       1.104411148523e+22       1.415027915038e+04       1.977787346743e-10       1.012396000831e+18       3.740192922496e-09       7.209758631098e+43       9.120722628496e+32       4.894236615178e+33       1.637383439356e+43       5.457944797855e+42       3.449766788309e-08       3.350097778782e+43       1.219723984982e+44       1.219723984982e+44       4.065746616412e+43      -2.510415855113e+52       3.737153157837e-06       2.986595032423e+00 
       7.104866841896e+13       1.497352452843e-25       6.522896001115e-09       1.089110238778e+22       1.415027915038e+04       1.991631858171e-10       1.005358491391e+18       3.766374272953e-09       7.011369311369e+43       8.931837986966e+32       4.792879939147e+33       1.592327924562e+43       5.307759748539e+42       3.449766788309e-08       3.257913885622e+43       1.186161112212e+44       1.186161112212e+44       3.953870373851e+43      -2.424366734966e+52       3.815010515292e-06       2.925644113394e+00 
